id,red1,red2,red3,red4,red5,red6,blue,firstPrizeAddress,OpenTime,SaleMoney
2017066,26,01,04,17,06,19,03,"辽宁2注,浙江1注,湖南1注,广东1注,广西1注,云南1注,陕西1注,共8注。",2017-06-08,329821920
2017067,01,29,03,10,04,18,04,"河北4注,上海1注,江苏1注,河南1注,湖南1注,深圳1注,云南1注,共10注。",2017-06-11,356270498
2017068,02,30,22,10,31,06,15,"河北1注,江苏1注,浙江2注,湖北3注,共7注。",2017-06-13,320912348
2017069,11,31,02,29,23,12,05,"江苏1注,江西1注,四川1注,共3注。",2017-06-15,326172358
2017070,25,01,22,06,14,26,12,"黑龙江1注,上海1注,浙江1注,广西1注,共4注。",2017-06-18,357559628
2017071,02,31,03,32,06,14,03,"天津2注,安徽1注,广东1注,共4注。",2017-06-20,322489468
2017072,23,11,26,30,06,14,02,"北京2注,辽宁1注,浙江1注,福建3注,山东3注,深圳1注,共11注。",2017-06-22,321195342
2017073,06,16,03,23,26,30,14,"上海3注,安徽1注,河南1注,深圳1注,广西1注,重庆1注,四川1注,共9注。",2017-06-25,347269730
2017074,06,23,16,31,30,02,02,"北京1注,辽宁1注,上海3注,江苏1注,安徽1注,福建1注,江西1注,山东2注,广东1注,深圳1注,广西1注,海南1注,陕西1注,共16注。",2017-06-27,312167868
2017075,19,01,06,03,29,21,07,"河北1注,上海1注,浙江2注,山东1注,广东1注,四川1注,共7注。",2017-06-29,320592160
2017076,04,01,08,15,14,09,13,"山西1注,辽宁2注,安徽1注,广东1注,重庆1注,四川1注,共7注。",2017-07-02,346391726
2017077,22,17,02,01,04,15,14,"内蒙古1注,河南1注,湖北1注,贵州1注,共4注。",2017-07-04,310153396
2017078,18,24,22,07,05,19,16,"上海1注,浙江1注,山东3注,广东1注,重庆1注,共7注。",2017-07-06,308678006
2017079,03,27,23,14,07,25,08,"黑龙江1注,浙江1注,福建1注,山东1注,河南1注,共5注。",2017-07-09,338568770
2017080,24,12,16,01,22,20,08,"内蒙古1注,辽宁2注,浙江1注,安徽1注,河南2注,广东3注,共10注。",2017-07-11,309113400
2017081,03,14,05,30,26,25,05,"河南3注,宁夏1注,共4注。",2017-07-13,311169340
2017082,14,21,18,28,29,25,10,"山西3注,辽宁1注,湖南1注,广西1注,四川3注,共9注。",2017-07-16,340327376
2017083,08,14,24,20,03,26,12,"河北1注,江苏2注,江西1注,湖北1注,湖南1注,广东1注,四川1注,贵州1注,云南2注,新疆2注,共13注。",2017-07-18,305712986
2017084,11,05,01,22,24,20,02,"内蒙古1注,辽宁1注,安徽1注,山东1注,河南1注,广东1注,广西1注,陕西2注,共9注。",2017-07-20,314750766
2017085,01,25,30,06,05,16,09,"浙江1注,安徽1注,江西1注,广东2注,广西1注,重庆1注,共7注。",2017-07-23,340676888
2017086,05,06,13,03,22,20,07,"山东1注,广西3注,云南1注,共5注。",2017-07-25,313250840
2017087,28,03,19,14,13,06,06,"天津1注,江苏2注,安徽1注,山东1注,河南2注,广东2注,深圳2注,广西1注,贵州1注,共13注。",2017-07-27,316090948
2017088,22,18,07,29,23,09,06,"黑龙江1注,上海1注,江苏1注,安徽2注,江西2注,山东1注,广东2注,共10注。",2017-07-30,346380162
2017089,16,11,12,13,23,25,12,"辽宁1注,河南1注,共2注。",2017-08-01,314842050
2017090,33,16,22,10,01,07,09,"天津1注,山东1注,云南2注,共4注。",2017-08-03,312174318
2017091,07,10,28,05,23,29,03,"山东2注,云南1注,新疆1注,共4注。",2017-08-06,337138076
2017092,29,10,33,18,19,32,09,"浙江1注,河南3注,共4注。",2017-08-08,308876342
2017093,22,07,27,09,15,08,12,"江苏1注,浙江2注,安徽1注,山东4注,河南1注,广东26注,深圳1注,四川1注,青海1注,宁夏1注,共39注。",2017-08-10,308248758
2017094,31,28,08,11,19,13,06,"吉林1注,安徽3注,河南1注,湖南1注,广东1注,四川1注,云南1注,共9注。",2017-08-13,341689810
2017095,22,09,19,12,29,10,16,"吉林1注,江苏2注,浙江3注,贵州7注,云南1注,共14注。",2017-08-15,317203922
2017096,12,19,02,06,29,11,06,"河北1注,山西1注,吉林1注,黑龙江1注,江西1注,山东2注,湖北1注,重庆2注,四川2注,陕西1注,新疆1注,共14注。",2017-08-17,322973284
2017097,18,10,30,31,19,05,03,"河北1注,上海1注,浙江1注,江西3注,湖北1注,广东1注,广西1注,新疆1注,共10注。",2017-08-20,348913966
